x,y,id,year
10.358342,13.265499,78c2e4ad81b3c2139750f68992ab2349,1888
13.574426,12.97393,972ef2190a394168997d484ae121034e,1887
16.66766,14.713363,66c462d61e7f1f4d3033d95b9b7312c2,1888
13.776011,13.997041,584f828dd8257e081e3871fefda7b48d,1886
15.999179,14.755162,48fb794bec4678bcafbe126d69fd4409,
8.179403,13.044731,7794646061c3abb9ba3447f456a74598,
12.335789,12.754157,73b0a43005e400964350cd0a63f1f53b,
13.312073,10.457964,10b2f71975989305593f93c8987536b7,
9.45915,9.487738,1766a5afb66526952d11a30597d01b9c,
9.590414,10.846652,e46ef733d7e30880b786ffb7dd86b1dd,
9.282501,10.743361,bb637aa3b819b9a08a05bb272919e2a5,
9.012021,11.000013,ce743a3523ce196c03054d3f9ab100e2,
9.30445,11.17143,91d786522fe65812bef3f6a68b0ff069,
9.358269,11.136241,69cc39f75f3b9bf3fe3912fdb238351b,
8.778068,12.01093,ebf237e122dd36e4cf2e83aa4ae23e51,
8.558088,12.346075,0a31a3a2db774c200ce3e1eaa391af78,
9.127856,11.146277,2708fd4b559cf531c9291dbd5514f6de,
9.13748,11.317106,35ec511f97e2d6e369c6e0c63084a461,
9.107451,10.69146,c43cad5448fe4267917324ea217651fa,
9.704584,11.337231,073480f58b6bfe261497ec39bb32f45a,
13.386408,13.522217,ea2169f77b5c945f205040987c1705d8,
9.034492,10.287306,d2911986b069d583697582da0478541c,
16.595217,14.388742,f940a99654481e303c1135ca9daf21e2,
7.7807484,12.645656,689b00c809c061492ec539c4769fa713,
13.837276,13.022842,ce1db0468289db43daff0f1586fea0d2,
9.846334,13.870443,9e3b8780e7a495ec2d25cf304d6df820,
9.01881,12.603764,5320b3604f11c5f76bc7fde1f79197f5,
9.863802,13.791065,93db8db12404f5c2f79d39f3e4610cc2,
13.981735,13.904179,76644520864afd672b0b362a715f1e60,
13.583641,14.251251,bcb54bc699c913924d6dc3e37bb96a8b,
9.614849,11.484533,ac25b4eb0ce85539128a7ef561b7247b,
12.967289,10.799807,7e306b567c19a2fee63a5a88d361a316,
14.054507,14.5463295,4b1d49986ed2980aa99183f0fc52d506,
13.895655,13.559283,dce7c4d58378f5009ad5b5c3385df26d,
9.451769,13.565379,2b598003554ab79cc7299cf7a9bc6897,
14.347659,12.9251,a30e9e40f062b58d77c209ca52d6044f,
14.488017,13.244651,9d2a767482101439655a04e0f2e22b6c,
12.928562,10.522962,998da391bc563a0d91cab9bd52b3a1f3,
